CAND-0009,recovered-local,2301.10673v2.pdf,1.00
CAND-0068,recovered-local,Comparison_of_NoSQL_Datastores_for_Large_Scale_Data_Stream_Log_Analytics.pdf,1.00
CAND-0566,recovered-local,A_Survey_on_Querying_Encrypted_Data_for_Database_as_a_Service.pdf,0.88
CAND-0626,recovered-local,1-s2.0-S0164121225000597-main.pdf,1.00
CAND-0663,recovered-local,Database_as_a_Service_Challenges_and_solutions_for_privacy_and_security.pdf,1.00
CAND-0780,recovered-local,Cloud_Database-as-a-Service_DaaS_-_ROI.pdf,1.00
CAND-0789,recovered-local,2301.10673v2.pdf,1.00
CAND-0792,recovered-local,Database_as_a_service_DBaaS.pdf,1.00
CAND-0817,recovered-local,Large-scale_ontology_storage_and_query_using_graph_database-oriented_approach_The_case_of_Freebase.pdf,0.75
CAND-0838,recovered-local,2301.10673v2.pdf,0.75
CAND-0980,recovered-local,Large-scale_ontology_storage_and_query_using_graph_database-oriented_approach_The_case_of_Freebase.pdf,1.00
CAND-0981,recovered-local,SQL_versus_NoSQL_databases_for_geospatial_applications.pdf,0.83
CAND-1006,recovered-local,1-s2.0-S0952197626005063-main.pdf,0.86
CAND-1010,recovered-local,A_Study_on_Cloud_Database.pdf,1.00
CAND-1029,recovered-local,1-s2.0-S0164121225000597-main.pdf,1.00
CAND-1060,recovered-local,2301.10673v2.pdf,1.00
CAND-1089,recovered-local,bea6d93618c688c54130b06d13997288b1f5.pdf,1.00
CAND-1103,recovered-local,The_future_of_database_services_Cloud_database.pdf,1.00
CAND-1108,recovered-local,On_distributed_database_security_aspects.pdf,1.00
CAND-1167,recovered-local,SQL_versus_NoSQL_databases_for_geospatial_applications.pdf,1.00
CAND-1203,recovered-local,Large-scale_ontology_storage_and_query_using_graph_database-oriented_approach_The_case_of_Freebase.pdf,1.00
CAND-1225,recovered-local,SQL_versus_NoSQL_databases_for_geospatial_applications.pdf,0.80
CAND-1283,recovered-local,2301.10673v2.pdf,1.00
CAND-1296,recovered-local,bea6d93618c688c54130b06d13997288b1f5.pdf,1.00
CAND-1302,recovered-local,bea6d93618c688c54130b06d13997288b1f5.pdf,1.00
CAND-1305,recovered-local,A_Survey_on_Querying_Encrypted_Data_for_Database_as_a_Service.pdf,1.00
CAND-1341,recovered-local,bea6d93618c688c54130b06d13997288b1f5.pdf,1.00
CAND-1344,recovered-local,Graefe1993QueryOptSurvey.pdf,0.88
CAND-1357,still-missing,,
CAND-1392,recovered-local,2301.10673v2.pdf,1.00
CAND-1399,still-missing,,
CAND-1408,recovered-local,1-s2.0-S0950584926001060-main.pdf,0.83
